task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
218,6777652572,6777652572,3972,66,5
572,2456726953,2456726953,3952,23,3
567,5381274486,5381274486,2835,34,3
612,2414694304,2414694304,1744,50,6
397,6608331691,6608331691,2899,61,5
93,8017146936,8017146936,3092,51,7
973,4210831798,4210831798,3466,62,5
664,4014665782,4014665782,2133,21,3
212,2298370612,2298370612,3513,35,3
737,2822417066,2822417066,1371,6,0
488,3504596128,3504596128,3965,44,5
293,5941273803,5941273803,1067,87,6
900,4742414187,4742414187,1289,51,6
917,2614268288,2614268288,1063,97,6
21,7117556302,7117556302,3959,1,2
935,2573310196,2573310196,2495,71,5
700,2858898342,2858898342,1028,46,6
699,3041046465,3041046465,1328,68,6
254,2664861009,2664861009,3079,8,3
545,5329348065,5329348065,3579,28,3
617,4996159565,4996159565,3215,87,5
147,1764602190,1764602190,255,52,6
862,2371028886,2371028886,3570,33,3
840,5394765450,5394765450,1171,47,6
703,6404003456,6404003456,2645,16,3
745,6865790357,6865790357,3662,41,7
412,5013635346,5013635346,2886,28,3
104,1756009371,1756009371,102,6,0
646,5251799702,5251799702,3700,92,5
969,6800940928,6800940928,2358,64,7
526,5279324885,5279324885,3359,37,3
456,2777864006,2777864006,2502,33,3
684,3283448866,3283448866,1075,93,6
898,4775397349,4775397349,2517,17,3
16,8149644703,8149644703,3014,44,7
421,3661873452,3661873452,3767,88,5
1,7636895874,7636895874,3156,59,7
941,5034139428,5034139428,2131,89,5
140,1347585181,1347585181,362,23,0
983,6256315690,6256315690,1966,98,5
942,3363020711,3363020711,3056,36,3
11,9448408219,9448408219,3092,85,7
922,2928640854,2928640854,2512,27,3
990,5126612686,5126612686,3520,7,3
256,6974018004,6974018004,1025,10,4
652,6629330418,6629330418,3162,67,5
29,6409417724,6409417724,3143,77,5
918,3055930848,3055930848,1944,15,0
485,3352984508,3352984508,2443,78,5
377,5455752960,5455752960,2652,22,3
