task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
951,2854501751,2854501751,1966,91,6
706,2496611151,2496611151,3749,29,3
219,4440567477,4440567477,1573,32,0
200,3671724803,3671724803,2942,31,3
700,2858898342,2858898342,1028,46,6
320,6970073393,6970073393,3585,18,2
449,6829861733,6829861733,1897,33,4
274,5519113458,5519113458,3975,18,3
939,3432320645,3432320645,1402,93,6
656,5235371957,5235371957,1396,17,0
104,1756009371,1756009371,102,6,0
393,2271053165,2271053165,1461,41,6
852,2182565555,2182565555,2619,9,3
141,498189217,498189217,514,66,6
917,2614268288,2614268288,1063,97,6
550,2113199864,2113199864,3294,41,3
637,2650610991,2650610991,3371,85,5
93,8017146936,8017146936,3092,51,7
20,6429450170,6429450170,3916,26,3
356,6240595565,6240595565,1871,54,6
849,6625417398,6625417398,1823,29,0
902,6365345300,6365345300,1382,99,6
52,7580179176,7580179176,3026,3,2
44,6321028039,6321028039,3770,78,5
256,6974018004,6974018004,1025,10,4
510,5834298456,5834298456,2311,38,3
212,2298370612,2298370612,3513,35,3
95,6182614526,6182614526,3839,15,3
484,2898257366,2898257366,3910,70,5
54,6348149292,6348149292,3526,99,5
855,2564470867,2564470867,3740,88,5
143,908514316,908514316,871,64,6
394,2084070677,2084070677,3258,77,5
591,3076424610,3076424610,2736,22,3
406,2495301498,2495301498,3383,79,5
605,5710457577,5710457577,1235,5,0
955,3369594709,3369594709,1550,6,0
766,5836072317,5836072317,3167,60,5
360,2045958323,2045958323,1831,48,6
506,3548164796,3548164796,3437,83,5
778,5963651933,5963651933,2360,5,3
355,6907578396,6907578396,3066,25,2
56,6018690970,6018690970,3202,56,5
947,2012311957,2012311957,2794,27,3
233,5518978340,5518978340,3994,50,5
94,7115330338,7115330338,3087,30,2
733,4048901118,4048901118,1065,32,0
298,2753060863,2753060863,1039,92,6
152,253864026,253864026,987,64,6
801,3329852898,3329852898,1507,74,6
