task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
771,4877965784,4877965784,2060,29,3
988,6010572125,6010572125,1493,58,6
461,4017438174,4017438174,2674,57,5
107,845605436,845605436,212,90,6
558,5519889191,5519889191,1765,1,0
845,4832655810,4832655810,1768,53,6
496,5307282579,5307282579,1021,82,6
768,6959977700,6959977700,3600,36,2
382,4186487539,4186487539,3804,78,5
631,3350433968,3350433968,1669,39,6
737,2822417066,2822417066,1371,6,0
525,6972266877,6972266877,1580,67,1
314,3723128615,3723128615,1793,32,0
895,2687414790,2687414790,1892,11,0
26,9730932834,9730932834,3988,20,2
714,4201890801,4201890801,2761,93,5
568,2641135599,2641135599,3358,84,5
696,2962180991,2962180991,2469,61,5
174,34229635,34229635,697,77,6
802,3019006597,3019006597,1441,84,6
276,2704807530,2704807530,1352,86,6
128,163092456,163092456,556,42,6
846,4884723632,4884723632,1680,42,6
665,4718509857,4718509857,1150,51,6
856,6903860538,6903860538,1154,17,4
272,2556593225,2556593225,2599,73,5
154,901807320,901807320,145,38,0
279,2801296226,2801296226,1899,51,6
212,2298370612,2298370612,3513,35,3
978,4609237179,4609237179,2183,69,5
436,2446207803,2446207803,1165,39,0
522,3573267026,3573267026,2317,49,5
205,2650751318,2650751318,2648,71,5
70,9337433325,9337433325,3885,14,2
237,4575410906,4575410906,1117,67,6
854,6366073254,6366073254,2310,24,3
131,4923039,4923039,785,48,6
879,2388580510,2388580510,2588,86,5
765,2983707699,2983707699,3051,83,5
415,6564657488,6564657488,3589,87,5
317,5704235297,5704235297,3452,51,5
190,1076936944,1076936944,104,27,0
954,3634677032,3634677032,2853,97,5
857,2682664570,2682664570,1576,78,6
144,1553597651,1553597651,827,13,0
596,3443028856,3443028856,3511,14,3
929,4297966349,4297966349,3118,81,5
489,6586708111,6586708111,3660,56,5
486,6065335682,6065335682,1951,52,6
742,4052931115,4052931115,1965,49,6
