task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
400.0,682481145.0,682481145.0,808.0,93.0,6
401.0,1871265326.0,1871265326.0,158.0,81.0,6
402.0,853311148.0,853311148.0,845.0,91.0,6
403.0,394119450.0,394119450.0,642.0,96.0,6
404.0,211718243.0,211718243.0,930.0,98.0,6
405.0,1172078899.0,1172078899.0,725.0,88.0,6
406.0,667187198.0,667187198.0,224.0,93.0,6
407.0,1673976615.0,1673976615.0,274.0,83.0,6
408.0,310103438.0,310103438.0,405.0,97.0,6
409.0,1490504004.0,1490504004.0,311.0,85.0,6
410.0,1399292673.0,1399292673.0,539.0,86.0,6
411.0,1305815219.0,1305815219.0,361.0,87.0,6
412.0,104913745.0,104913745.0,601.0,99.0,6
413.0,1530533872.0,1530533872.0,134.0,85.0,6
414.0,216902669.0,216902669.0,550.0,98.0,6
415.0,1299224314.0,1299224314.0,101.0,87.0,6
416.0,1791498632.0,1791498632.0,531.0,82.0,6
417.0,1529306780.0,1529306780.0,638.0,85.0,6
418.0,990865244.0,990865244.0,162.0,90.0,6
419.0,941652796.0,941652796.0,515.0,91.0,6
420.0,1496621716.0,1496621716.0,909.0,85.0,6
421.0,188743021.0,188743021.0,206.0,98.0,6
422.0,189930456.0,189930456.0,773.0,98.0,6
423.0,471176755.0,471176755.0,143.0,95.0,6
424.0,227255851.0,227255851.0,211.0,98.0,6
425.0,698856704.0,698856704.0,933.0,93.0,6
426.0,403938735.0,403938735.0,881.0,96.0,6
427.0,1538896722.0,1538896722.0,381.0,85.0,6
428.0,247986847.0,247986847.0,330.0,98.0,6
429.0,787747433.0,787747433.0,952.0,92.0,6
430.0,913074897.0,913074897.0,467.0,91.0,6
431.0,295749117.0,295749117.0,256.0,97.0,6
432.0,452607291.0,452607291.0,408.0,95.0,6
433.0,1494384240.0,1494384240.0,240.0,85.0,6
434.0,1974526360.0,1974526360.0,719.0,80.0,6
435.0,1164556571.0,1164556571.0,233.0,88.0,6
436.0,437531695.0,437531695.0,199.0,96.0,6
437.0,1744247602.0,1744247602.0,742.0,83.0,6
438.0,1716923129.0,1716923129.0,794.0,83.0,6
439.0,1636427863.0,1636427863.0,346.0,84.0,6
440.0,563254339.0,563254339.0,898.0,94.0,6
441.0,494771043.0,494771043.0,242.0,95.0,6
442.0,1424916611.0,1424916611.0,693.0,86.0,6
443.0,196304702.0,196304702.0,139.0,98.0,6
444.0,1331973506.0,1331973506.0,613.0,87.0,6
445.0,1797212444.0,1797212444.0,634.0,82.0,6
446.0,794927945.0,794927945.0,840.0,92.0,6
447.0,1140489044.0,1140489044.0,612.0,89.0,6
448.0,1287816270.0,1287816270.0,115.0,87.0,6
449.0,686860127.0,686860127.0,112.0,93.0,6
450.0,1889893809.0,1889893809.0,191.0,81.0,6
451.0,1071162274.0,1071162274.0,326.0,89.0,6
452.0,1553311907.0,1553311907.0,786.0,84.0,6
453.0,1348486375.0,1348486375.0,225.0,87.0,6
454.0,1486530504.0,1486530504.0,534.0,85.0,6
455.0,1960173978.0,1960173978.0,465.0,80.0,6
456.0,1470956050.0,1470956050.0,915.0,85.0,6
457.0,1491802723.0,1491802723.0,615.0,85.0,6
458.0,586888070.0,586888070.0,691.0,94.0,6
459.0,939411157.0,939411157.0,338.0,91.0,6
460.0,22822571.0,22822571.0,655.0,100.0,6
