task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
523,4697349479,4697349479,3615,88,5
197,1697813716,1697813716,721,26,0
916,3070163226,3070163226,3277,89,5
904,5742703514,5742703514,1439,26,0
391,5323942867,5323942867,2187,12,3
622,3621193401,3621193401,1344,3,0
623,4143459081,4143459081,3327,54,5
79,6817218018,6817218018,3536,47,7
355,6742943273,6742943273,2133,21,2
110,1753146280,1753146280,882,60,6
258,2362558649,2362558649,3967,90,5
298,4821532850,4821532850,2256,61,5
682,2198603834,2198603834,1663,13,0
880,4838686090,4838686090,1806,34,0
188,272595531,272595531,665,89,6
545,2206901574,2206901574,2377,77,5
253,6831993702,6831993702,1622,45,1
152,168434187,168434187,560,51,6
510,3880177072,3880177072,1757,60,6
300,3478082327,3478082327,1775,52,6
474,4719815216,4719815216,3245,55,5
245,6934787137,6934787137,3591,48,7
75,6214736363,6214736363,3816,32,3
309,2797963347,2797963347,3971,8,3
163,1634395984,1634395984,265,45,6
324,2880337540,2880337540,2973,14,3
567,6968708303,6968708303,2732,52,7
209,4249596172,4249596172,3637,86,5
889,2368766927,2368766927,2825,43,5
377,6527723903,6527723903,1502,76,6
578,3220327044,3220327044,3750,66,5
615,3669417218,3669417218,2433,12,3
125,961697232,961697232,612,29,0
588,2663973051,2663973051,2242,13,3
327,3158142497,3158142497,2882,29,3
24,6500079993,6500079993,3607,7,3
16,6221410190,6221410190,3209,43,5
526,2755268066,2755268066,1705,79,6
68,6729504539,6729504539,3663,14,2
337,2888314405,2888314405,1446,29,0
423,4719280306,4719280306,3735,92,5
517,2910991100,2910991100,1538,63,6
247,6933156678,6933156678,3730,56,7
844,3552001794,3552001794,1514,61,6
246,2213798479,2213798479,1270,12,0
723,2816056609,2816056609,2285,10,3
381,6316112234,6316112234,2267,63,5
705,2649827646,2649827646,1446,35,0
27,6963146212,6963146212,3798,62,7
942,6830624665,6830624665,3476,43,7
