task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
232,3629172141,3629172141,2708,26,3
37,6312515037,6312515037,3473,60,5
109,192933273,192933273,204,82,6
328,2451198356,2451198356,2147,47,5
611,6443628684,6443628684,1897,1,0
766,5813301430,5813301430,2023,26,3
147,204377043,204377043,387,93,6
1,6936637443,6936637443,3109,52,7
180,1303546574,1303546574,876,33,0
526,2755268066,2755268066,1705,79,6
548,3660208022,3660208022,1795,46,6
564,3727925027,3727925027,1407,93,6
475,2633555330,2633555330,1373,8,0
591,2939519325,2939519325,3106,61,5
834,6544362251,6544362251,1926,46,6
112,250396725,250396725,284,99,6
421,3614783616,3614783616,2394,91,5
895,4500012579,4500012579,3088,98,5
375,6056800868,6056800868,1712,14,0
194,248398891,248398891,135,50,6
249,4977787888,4977787888,3116,50,5
641,5489196943,5489196943,2718,68,5
752,3290782109,3290782109,3038,19,3
489,4257997906,4257997906,1871,56,6
530,6082911250,6082911250,3279,11,3
428,4670635480,4670635480,2592,1,3
481,6301381585,6301381585,3113,41,5
699,4590403997,4590403997,1105,47,6
359,6044851946,6044851946,1392,34,0
460,4796783809,4796783809,2433,52,5
4,6274007411,6274007411,3444,17,3
621,3013056804,3013056804,2040,10,3
513,3008306667,3008306667,2751,67,5
632,3696591798,3696591798,3761,68,5
66,6143393971,6143393971,3361,24,3
298,4821532850,4821532850,2256,61,5
745,5094461931,5094461931,1557,47,6
521,3199122625,3199122625,2396,21,3
816,2585114688,2585114688,3855,89,5
350,6907730426,6907730426,2470,42,7
299,6100381403,6100381403,2469,59,5
138,1148892842,1148892842,570,21,0
292,3781916136,3781916136,1955,79,6
248,5408351173,5408351173,2770,72,5
616,3359919462,3359919462,2372,49,5
264,3468972062,3468972062,3205,21,3
994,6121989467,6121989467,1798,37,0
452,2758587872,2758587872,3983,16,3
585,3217906189,3217906189,3892,81,5
185,1246735305,1246735305,705,26,0
