task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
246,2213798479,2213798479,1270,12,0
29,6086295136,6086295136,3727,84,5
411,6762972302,6762972302,2278,24,2
443,4281801362,4281801362,1117,41,6
793,4480689084,4480689084,1041,41,6
918,4206162816,4206162816,3567,2,3
393,5892478182,5892478182,3371,43,5
150,674189536,674189536,199,77,6
758,2593665287,2593665287,1070,66,6
670,5808483725,5808483725,1180,34,0
733,3748944392,3748944392,3806,76,5
161,1946921146,1946921146,938,99,6
606,6285838205,6285838205,2124,91,5
973,5603691741,5603691741,1562,50,6
380,6444084135,6444084135,2239,27,3
119,1495525101,1495525101,321,13,0
668,3962389708,3962389708,2706,5,3
142,907945782,907945782,991,17,0
171,704455679,704455679,297,59,6
30,6358347143,6358347143,3489,6,3
598,6600269498,6600269498,3709,73,5
898,3663074385,3663074385,1755,35,0
957,5557433357,5557433357,1879,8,0
136,570741052,570741052,786,97,6
688,3608058100,3608058100,3279,90,5
137,1715736200,1715736200,430,98,6
427,4532704908,4532704908,2334,15,3
6,6998203857,6998203857,3544,22,2
686,3617582828,3617582828,3704,89,5
530,6082911250,6082911250,3279,11,3
201,3031701440,3031701440,1625,25,0
916,3070163226,3070163226,3277,89,5
157,468847989,468847989,794,16,0
798,3811443664,3811443664,2885,82,5
681,2173011725,2173011725,2717,23,3
760,6622912572,6622912572,2283,42,5
495,2011976284,2011976284,3900,89,5
25,6784763484,6784763484,3892,50,7
423,4719280306,4719280306,3735,92,5
81,6335652598,6335652598,3711,46,5
330,6393519754,6393519754,1928,67,6
301,2880445826,2880445826,1133,92,6
273,6741505755,6741505755,2858,77,5
611,6443628684,6443628684,1897,1,0
805,3368736791,3368736791,3601,25,3
630,4702317580,4702317580,3691,80,5
612,5037610317,5037610317,2259,26,3
200,6004878917,6004878917,1899,76,6
361,2725681460,2725681460,2086,84,5
462,2706678353,2706678353,2460,87,5
