task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority
950.0,8798873824.0,8798.873824,1868.0,1200.0
951.0,7014265542.0,7014.265542,136.0,3000.0
952.0,2477953039.0,2477.953039,2823.0,7500.0
953.0,6039780138.0,6039.780138,1610.0,4000.0
954.0,7627759621.0,7627.759621,381.0,2400.0
955.0,4581075953.0,4581.075953,1240.0,5400.0
956.0,2162133325.0,2162.133325,981.0,7800.0
957.0,1983811304.0,1983.811304,465.0,8000.0
958.0,6189115496.0,6189.115496,1411.0,3800.0
959.0,2365517289.0,2365.517289,2302.0,7600.0
960.0,8022990889.0,8022.990889,2684.0,2000.0
961.0,1645793452.0,1645.793452,2365.0,8400.0
962.0,3229041274.0,3229.041274,2056.0,6800.0
963.0,1727953510.0,1727.95351,528.0,8300.0
964.0,9908091005.0,9908.091005,1181.0,100.0
965.0,3179812878.0,3179.812878,602.0,6800.0
966.0,8378938823.0,8378.938823,1975.0,1600.0
967.0,2351977450.0,2351.97745,1576.0,7600.0
968.0,5523121955.0,5523.121955,1911.0,4500.0
969.0,2661464746.0,2661.464746,1304.0,7300.0
970.0,2596074552.0,2596.074552,1452.0,7400.0
971.0,2840135667.0,2840.135667,1215.0,7200.0
972.0,7884430606.0,7884.430606,2959.0,2100.0
973.0,6375181415.0,6375.181415,2623.0,3600.0
974.0,3109856638.0,3109.856638,1029.0,6900.0
975.0,7877167487.0,7877.167487,1191.0,2100.0
976.0,1505085985.0,1505.085985,693.0,8500.0
977.0,7787618114.0,7787.618114,595.0,2200.0
978.0,7115749909.0,7115.749909,2195.0,2900.0
979.0,9978999727.0,9978.999727,2851.0,0.0
980.0,2741860787.0,2741.860787,1416.0,7300.0
981.0,7256885404.0,7256.885404,2443.0,2700.0
982.0,1479290300.0,1479.2903,909.0,8500.0
983.0,5098866521.0,5098.866521,1875.0,4900.0
984.0,7302465848.0,7302.465848,1896.0,2700.0
985.0,2470215360.0,2470.21536,1115.0,7500.0
986.0,6519684454.0,6519.684454,1626.0,3500.0
987.0,8979649175.0,8979.649175,2505.0,1000.0
988.0,2651062131.0,2651.062131,1415.0,7300.0
989.0,9008419487.0,9008.419487,578.0,1000.0
990.0,1404672006.0,1404.672006,701.0,8600.0
991.0,9631019214.0,9631.019214,2829.0,400.0
992.0,8897361044.0,8897.361044,263.0,1100.0
993.0,8103235382.0,8103.235382,2379.0,1900.0
994.0,3260596102.0,3260.596102,1448.0,6700.0
995.0,8125439106.0,8125.439106,266.0,1900.0
996.0,8521883772.0,8521.883772,1751.0,1500.0
997.0,1149002778.0,1149.002778,117.0,8900.0
998.0,6230745485.0,6230.745485,198.0,3800.0
999.0,4198019612.0,4198.019612,319.0,5800.0
