task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority
800.0,7346979484.0,7346979484.0,1361.0,27.0
801.0,2908447081.0,2908447081.0,728.0,71.0
802.0,3901031509.0,3901031509.0,1585.0,61.0
803.0,6664282156.0,6664282156.0,807.0,33.0
804.0,6079732135.0,6079732135.0,2578.0,39.0
805.0,8311932439.0,8311932439.0,218.0,17.0
806.0,8559704224.0,8559704224.0,1165.0,14.0
807.0,3514088825.0,3514088825.0,864.0,65.0
808.0,8631162077.0,8631162077.0,275.0,14.0
809.0,1017931117.0,1017931117.0,2838.0,90.0
810.0,6820104684.0,6820104684.0,1775.0,32.0
811.0,2002770323.0,2002770323.0,987.0,80.0
812.0,3527072047.0,3527072047.0,2639.0,65.0
813.0,6744387558.0,6744387558.0,163.0,33.0
814.0,6553478310.0,6553478310.0,1560.0,34.0
815.0,8605318594.0,8605318594.0,728.0,14.0
816.0,7856367521.0,7856367521.0,1449.0,21.0
817.0,3376071287.0,3376071287.0,1302.0,66.0
818.0,6992494789.0,6992494789.0,971.0,30.0
819.0,8821383827.0,8821383827.0,2716.0,12.0
820.0,7987755549.0,7987755549.0,1279.0,20.0
821.0,7552088150.0,7552088150.0,1257.0,24.0
822.0,8557738983.0,8557738983.0,1144.0,14.0
823.0,7133411491.0,7133411491.0,2110.0,29.0
824.0,8748273017.0,8748273017.0,2493.0,13.0
825.0,5723161822.0,5723161822.0,1683.0,43.0
826.0,3646550685.0,3646550685.0,1218.0,64.0
827.0,2785828092.0,2785828092.0,2210.0,72.0
828.0,1682537723.0,1682537723.0,1026.0,83.0
829.0,8377247174.0,8377247174.0,2892.0,16.0
830.0,6089588951.0,6089588951.0,2140.0,39.0
831.0,6721504501.0,6721504501.0,2342.0,33.0
832.0,5028043939.0,5028043939.0,2749.0,50.0
833.0,3997209864.0,3997209864.0,726.0,60.0
834.0,6138311558.0,6138311558.0,2338.0,39.0
835.0,5562809207.0,5562809207.0,176.0,44.0
836.0,1346114714.0,1346114714.0,555.0,87.0
837.0,1051111216.0,1051111216.0,1014.0,89.0
838.0,9860201522.0,9860201522.0,2751.0,1.0
839.0,9923492854.0,9923492854.0,765.0,1.0
840.0,2028651158.0,2028651158.0,810.0,80.0
841.0,4768235638.0,4768235638.0,2796.0,52.0
842.0,6437261846.0,6437261846.0,371.0,36.0
843.0,7432748786.0,7432748786.0,855.0,26.0
844.0,4195391979.0,4195391979.0,451.0,58.0
845.0,6303904746.0,6303904746.0,1133.0,37.0
846.0,4376211063.0,4376211063.0,737.0,56.0
847.0,2246456909.0,2246456909.0,1832.0,78.0
848.0,6613593700.0,6613593700.0,1628.0,34.0
849.0,9478853055.0,9478853055.0,1869.0,5.0
850.0,3101678583.0,3101678583.0,1679.0,69.0
851.0,8854817230.0,8854817230.0,1687.0,11.0
852.0,6415748863.0,6415748863.0,2376.0,36.0
853.0,1664787969.0,1664787969.0,2609.0,83.0
854.0,9940709334.0,9940709334.0,1759.0,1.0
855.0,4947221351.0,4947221351.0,1344.0,51.0
856.0,1275633147.0,1275633147.0,1803.0,87.0
857.0,4066315583.0,4066315583.0,2491.0,59.0
858.0,2953433627.0,2953433627.0,2128.0,70.0
859.0,2057435167.0,2057435167.0,2014.0,79.0
860.0,6414575846.0,6414575846.0,602.0,36.0
861.0,2737244253.0,2737244253.0,2483.0,73.0
862.0,8037818801.0,8037818801.0,2943.0,20.0
863.0,4345895150.0,4345895150.0,1869.0,57.0
864.0,3617382014.0,3617382014.0,2529.0,64.0
865.0,5373369445.0,5373369445.0,1443.0,46.0
866.0,6363649118.0,6363649118.0,2460.0,36.0
867.0,7879776804.0,7879776804.0,1927.0,21.0
868.0,1489627253.0,1489627253.0,2603.0,85.0
869.0,7583061584.0,7583061584.0,2764.0,24.0
870.0,1902251631.0,1902251631.0,233.0,81.0
871.0,7244133664.0,7244133664.0,1541.0,28.0
872.0,3311158009.0,3311158009.0,2563.0,67.0
873.0,7264077192.0,7264077192.0,1235.0,27.0
874.0,8807667133.0,8807667133.0,1152.0,12.0
875.0,9029155836.0,9029155836.0,2493.0,10.0
876.0,1970308178.0,1970308178.0,1404.0,80.0
877.0,5713577274.0,5713577274.0,1160.0,43.0
878.0,7841594235.0,7841594235.0,283.0,22.0
879.0,9671895555.0,9671895555.0,2042.0,3.0
880.0,8849138340.0,8849138340.0,2649.0,12.0
881.0,3055785854.0,3055785854.0,1005.0,69.0
882.0,2273562692.0,2273562692.0,2890.0,77.0
883.0,9267419695.0,9267419695.0,1413.0,7.0
884.0,6532139663.0,6532139663.0,1248.0,35.0
885.0,2270058957.0,2270058957.0,1927.0,77.0
886.0,2565117137.0,2565117137.0,2879.0,74.0
887.0,5636562605.0,5636562605.0,344.0,44.0
888.0,9108085518.0,9108085518.0,1421.0,9.0
889.0,5000598059.0,5000598059.0,2283.0,50.0
890.0,1486319791.0,1486319791.0,2008.0,85.0
891.0,7058869586.0,7058869586.0,237.0,29.0
892.0,7335968449.0,7335968449.0,982.0,27.0
893.0,6652606507.0,6652606507.0,1698.0,33.0
894.0,9211867934.0,9211867934.0,1248.0,8.0
895.0,2738991867.0,2738991867.0,2162.0,73.0
896.0,7362305530.0,7362305530.0,291.0,26.0
897.0,1176904811.0,1176904811.0,376.0,88.0
898.0,4011436471.0,4011436471.0,2412.0,60.0
899.0,8112582131.0,8112582131.0,2946.0,19.0
900.0,1678579894.0,1678579894.0,171.0,83.0
901.0,3185141441.0,3185141441.0,1279.0,68.0
902.0,5296997950.0,5296997950.0,2065.0,47.0
903.0,1282478180.0,1282478180.0,2907.0,87.0
904.0,2883526686.0,2883526686.0,1511.0,71.0
905.0,7850791591.0,7850791591.0,754.0,21.0
906.0,5408474279.0,5408474279.0,2863.0,46.0
907.0,3895492511.0,3895492511.0,1998.0,61.0
908.0,2842305978.0,2842305978.0,1361.0,72.0
909.0,3335931576.0,3335931576.0,695.0,67.0
910.0,6060111604.0,6060111604.0,2013.0,39.0
911.0,3501420871.0,3501420871.0,1324.0,65.0
912.0,3016647143.0,3016647143.0,1562.0,70.0
913.0,4194143751.0,4194143751.0,256.0,58.0
914.0,4413936215.0,4413936215.0,1409.0,56.0
915.0,6395759595.0,6395759595.0,1768.0,36.0
916.0,5245396899.0,5245396899.0,1932.0,48.0
917.0,7017792534.0,7017792534.0,2276.0,30.0
918.0,3071905067.0,3071905067.0,1324.0,69.0
919.0,8697731129.0,8697731129.0,1480.0,13.0
920.0,5931148010.0,5931148010.0,628.0,41.0
921.0,7573243864.0,7573243864.0,1343.0,24.0
922.0,5118670156.0,5118670156.0,1976.0,49.0
923.0,3525981839.0,3525981839.0,2783.0,65.0
924.0,5560560944.0,5560560944.0,2187.0,44.0
925.0,6868873456.0,6868873456.0,829.0,31.0
926.0,4976385652.0,4976385652.0,1023.0,50.0
927.0,1124633834.0,1124633834.0,1198.0,89.0
928.0,8767399890.0,8767399890.0,1970.0,12.0
929.0,1629801787.0,1629801787.0,240.0,84.0
930.0,8036747625.0,8036747625.0,1800.0,20.0
931.0,8591137684.0,8591137684.0,2277.0,14.0
932.0,6632077207.0,6632077207.0,364.0,34.0
933.0,1718275835.0,1718275835.0,2668.0,83.0
934.0,1803753890.0,1803753890.0,1605.0,82.0
935.0,1504402604.0,1504402604.0,1581.0,85.0
936.0,9909122971.0,9909122971.0,2576.0,1.0
937.0,4539952210.0,4539952210.0,2270.0,55.0
938.0,7674048081.0,7674048081.0,2910.0,23.0
939.0,1500901625.0,1500901625.0,1588.0,85.0
940.0,5513786390.0,5513786390.0,2845.0,45.0
941.0,3911825567.0,3911825567.0,1362.0,61.0
942.0,5287229752.0,5287229752.0,1418.0,47.0
943.0,5157541022.0,5157541022.0,1146.0,48.0
944.0,3171012390.0,3171012390.0,320.0,68.0
945.0,7992053900.0,7992053900.0,2596.0,20.0
946.0,5212858214.0,5212858214.0,1166.0,48.0
947.0,8868936340.0,8868936340.0,559.0,11.0
948.0,8823493573.0,8823493573.0,859.0,12.0
949.0,1381328485.0,1381328485.0,1309.0,86.0
950.0,8798873824.0,8798873824.0,1868.0,12.0
951.0,7014265542.0,7014265542.0,136.0,30.0
952.0,2477953039.0,2477953039.0,2823.0,75.0
