task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
601,2184557483,2184557483,3565,92,5
240,8336527120,8336527120,7668,48,7
384,6555209806,6555209806,3807,69,5
311,4228633228,4228633228,7234,92,5
930,5893433853,5893433853,7033,91,5
905,2081442344,2081442344,4098,90,5
327,5311608016,5311608016,4862,41,5
87,7317269428,7317269428,3366,6,2
690,2348807383,2348807383,7338,39,3
344,5661223200,5661223200,7759,81,5
177,1183720615,1183720615,471,39,0
290,2346273327,2346273327,4479,11,3
711,9270067427,9270067427,6797,59,7
541,8537369891,8537369891,4224,81,7
143,499779640,499779640,927,29,0
714,2320637026,2320637026,7822,10,3
527,9342277105,9342277105,2849,73,7
604,9794621687,9794621687,4527,85,7
395,9569557048,9569557048,1378,34,4
211,3221923337,3221923337,6818,94,5
828,7375336492,7375336492,7267,85,7
173,238810917,238810917,776,32,0
713,7212261042,7212261042,4742,76,7
692,3826908392,3826908392,5671,74,5
748,4693930341,4693930341,3740,58,5
981,9422963175,9422963175,1378,81,1
754,9891965903,9891965903,2619,32,2
767,5130803071,5130803071,4903,79,5
933,7834360783,7834360783,4512,81,7
758,7251648719,7251648719,4722,31,2
415,7714146528,7714146528,2550,91,7
756,2040366656,2040366656,2794,83,5
543,9254264135,9254264135,1438,43,1
474,5530154924,5530154924,7932,9,3
303,6147974683,6147974683,7526,68,5
166,1417061731,1417061731,490,40,6
56,6217446341,6217446341,5067,38,3
922,5968391938,5968391938,4016,57,5
443,6962330587,6962330587,5629,12,2
664,6682037092,6682037092,1785,23,4
716,5181826619,5181826619,1312,30,0
315,4232056037,4232056037,1878,76,6
253,3393212995,3393212995,6619,7,3
928,8374774130,8374774130,1696,37,1
319,3386358972,3386358972,1001,79,6
11,6457188123,6457188123,3366,32,3
803,9473430002,9473430002,5341,78,7
545,9130774717,9130774717,5841,49,7
676,3700626343,3700626343,3098,98,5
916,7926304870,7926304870,3119,29,2
