task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
863,6896143273,6896143273,7805,22,2
261,5146330395,5146330395,6328,93,5
518,2480167149,2480167149,7026,84,5
33,8720876346,8720876346,6417,78,7
921,4881269649,4881269649,4671,1,3
414,9558604869,9558604869,6611,94,7
881,7350832663,7350832663,1001,50,1
71,7547398969,7547398969,7484,34,2
908,8487235087,8487235087,7696,74,7
606,5868130091,5868130091,6424,74,5
220,2081628168,2081628168,4600,93,5
713,7212261042,7212261042,4742,76,7
937,9659034665,9659034665,5633,7,2
778,6595251153,6595251153,2342,69,5
665,8067756482,8067756482,7798,38,2
973,5623967458,5623967458,4245,60,5
476,4978503708,4978503708,1127,32,0
451,3502368837,3502368837,3323,74,5
308,7397484040,7397484040,3671,12,2
734,7039486103,7039486103,1808,69,1
787,9664398347,9664398347,6371,83,7
559,3042328550,3042328550,5985,14,3
322,6231578712,6231578712,3377,45,5
623,3455519168,3455519168,6780,85,5
880,5858641473,5858641473,7575,40,5
285,3217668136,3217668136,3963,10,3
621,9596932994,9596932994,3651,73,7
329,8701453471,8701453471,7249,96,7
96,9460428080,9460428080,4248,26,2
295,5140350501,5140350501,1609,79,6
470,8016924577,8016924577,7093,74,7
90,9246113268,9246113268,7767,65,7
1,7172598529,7172598529,5439,97,7
46,9993910022,9993910022,5299,91,7
19,7099896679,7099896679,3095,2,2
737,9637433641,9637433641,4532,35,2
47,7299405280,7299405280,5762,46,7
460,8687143258,8687143258,4900,62,7
417,4029883105,4029883105,2631,70,5
972,4807459170,4807459170,3753,60,5
324,2717756036,2717756036,6370,68,5
477,7709818120,7709818120,6949,56,7
49,9153259590,9153259590,5267,16,2
856,7013739022,7013739022,7651,94,5
201,9603474541,9603474541,6095,51,7
726,2628081355,2628081355,4104,8,3
613,7693644438,7693644438,7550,18,2
226,4901708840,4901708840,4771,25,3
803,9473430002,9473430002,5341,78,7
718,4886348748,4886348748,4369,50,5
